graph_type,sampling_method,sampling_rate,mean_original_nodes,mean_original_edges,mean_sampled_nodes,mean_sampled_edges,mean_pagerank_runtime_full_sec,mean_pagerank_runtime_sampled_sec,mean_cc_runtime_full_sec,mean_cc_runtime_sampled_sec,mean_pagerank_top10_overlap_pct,mean_edge_retention_pct,mean_density_change_pct,mean_connected_component_count_diff,mean_pagerank_runtime_saved_pct,mean_cc_runtime_saved_pct
erdos_renyi,random_walk,0.75,3000.0,12087.0,2250.0,7820.333333333333,0.07785062466666666,0.006386180333333343,0.0010449166666667657,0.0007207916666666462,30.0,64.46766840432265,14.628637881252343,-1.0,54.33281503146253,37.13662703089506
watts_strogatz,random_edge,0.25,3000.0,9000.0,2465.6666666666665,2250.0,0.00707727766666677,0.003659735666666849,0.0007555833333333281,0.0006112916666668097,6.666666666666667,25.0,-62.958230862257956,336.3333333333333,44.27417100676047,10.887091848122248
watts_strogatz,random_edge,0.5,3000.0,9000.0,2938.6666666666665,4500.0,0.00707727766666677,0.012830027666666707,0.0007555833333333281,0.0006398330000002931,6.666666666666667,50.0,-47.68385907387372,8.0,-81.10869202820105,14.982382776350676
watts_strogatz,random_edge,0.75,3000.0,9000.0,2997.6666666666665,6750.0,0.00707727766666677,0.012997624666666615,0.0007555833333333281,0.0008116946666668253,26.666666666666668,75.0,-24.883141898249658,0.0,-47.34917297748566,-1.8781086288742141
watts_strogatz,random_node,0.25,3000.0,9000.0,750.0,546.6666666666666,0.00707727766666677,0.0017598196666666806,0.0007555833333333281,0.00023845866666668178,6.666666666666667,6.161481481481482,-1.2623626304137436,279.6666666666667,70.20834903302612,66.88229769377574
watts_strogatz,random_node,0.5,3000.0,9000.0,1500.0,2217.6666666666665,0.00707727766666677,0.0028747226666667736,0.0007555833333333281,0.00034495833333340425,6.666666666666667,24.59777777777778,-1.5587474897844025,57.333333333333336,56.843724450533934,52.9890703368822
watts_strogatz,random_node,0.75,3000.0,9000.0,2250.0,5050.0,0.00707727766666677,0.004669208333333359,0.0007555833333333281,0.0004857079999999551,20.0,56.30666666666667,0.11788026711012163,1.6666666666666667,31.812447075388746,33.21579624064086
watts_strogatz,random_walk,0.25,3000.0,9000.0,750.0,1488.6666666666667,0.00707727766666677,0.001841125333333249,0.0007555833333333281,0.00019645833333322335,6.666666666666667,16.198518518518522,159.5610287398204,0.0,71.35726068522409,74.42130116210178
watts_strogatz,random_walk,0.5,3000.0,9000.0,1500.0,3379.6666666666665,0.00707727766666677,0.0033906943333333515,0.0007555833333333281,0.0003492083333333322,20.0,37.46296296296296,49.92829924730567,0.0,50.729764794506785,52.024304442613605
watts_strogatz,random_walk,0.75,3000.0,9000.0,2250.0,5814.333333333333,0.00707727766666677,0.004975416666666603,0.0007555833333333281,0.0005355696666667539,36.666666666666664,64.44962962962963,14.596597230759187,0.0,26.76279294404147,27.755213864809832
