graph_type,n,seed,original_node_count,original_edge_count,original_density,sampling_method,sampling_rate,sampled_node_count,sampled_edge_count,pagerank_runtime_full_sec,pagerank_runtime_sampled_sec,connected_components_runtime_full_sec,connected_components_runtime_sampled_sec,pagerank_top10_overlap_count,pagerank_top10_overlap_pct,edge_retention_pct,density_change_pct,connected_component_count_diff,pagerank_runtime_saved_pct,cc_runtime_saved_pct,full_connected_component_count,sampled_connected_component_count
erdos_renyi,3000,1235,3000,12174,0.0027062354118039347,random_edge,0.25,2623,3044,0.00938949999999994,0.004924667000000049,0.0009765000000001578,0.000756959000000057,1,10.0,25.004107113520618,-67.29018459593564,82,47.55133926194067,22.48243727599235,3,85
erdos_renyi,3000,1235,3000,12174,0.0027062354118039347,random_edge,0.5,2953,6087,0.00938949999999994,0.006651291000000059,0.0009765000000001578,0.0008890420000000621,4,40.0,50.0,-48.3954583873641,-2,29.162458064858598,8.95627240144205,3,1
erdos_renyi,3000,1235,3000,12174,0.0027062354118039347,random_edge,0.75,2995,9130,0.00938949999999994,0.029951749999999944,0.0009765000000001578,0.0009975829999999686,5,50.0,74.99589288647938,-24.753452559023994,-2,-218.9919591032551,-2.159037378372491,3,1
erdos_renyi,3000,1235,3000,12174,0.0027062354118039347,random_node,0.25,750,783,0.00938949999999994,0.0017988339999999159,0.0009765000000001578,0.00019762499999997907,0,0.0,6.431739773287333,3.0108816026099494,104,80.84206826774665,79.76190476191017,3,107
erdos_renyi,3000,1235,3000,12174,0.0027062354118039347,random_node,0.5,1500,3007,0.00938949999999994,0.0038893330000000503,0.0009765000000001578,0.0005612500000000686,1,10.0,24.700180712994907,-1.1663216033732893,32,58.57784759571783,42.52432155658188,3,35
erdos_renyi,3000,1235,3000,12174,0.0027062354118039347,random_node,0.75,2250,6941,0.00938949999999994,0.007227249999999907,0.0009765000000001578,0.0008962909999998825,3,30.0,57.01494989321505,1.3711781412491015,4,23.02838276798601,8.213927291373512,3,7
erdos_renyi,3000,1235,3000,12174,0.0027062354118039347,random_walk,0.25,750,1378,0.00938949999999994,0.0018766249999999651,0.0009765000000001578,0.00018433299999998098,3,30.0,11.319204862822408,81.28862688173245,-2,80.01357899781695,81.12309267793638,3,1
erdos_renyi,3000,1235,3000,12174,0.0027062354118039347,random_walk,0.5,1500,4077,0.00938949999999994,0.0038907920000001983,0.0009765000000001578,0.0004764999999999908,2,20.0,33.4894036471168,34.00229691488098,-2,58.56230896213618,51.20327700973745,3,1
erdos_renyi,3000,1235,3000,12174,0.0027062354118039347,random_walk,0.75,2250,7880,0.00938949999999994,0.00654429099999998,0.0009765000000001578,0.0007054170000000415,2,20.0,64.7281090849351,15.08498541320313,-2,30.302028862026496,27.760675883263954,3,1
erdos_renyi,5000,1236,5000,20132,0.001610882176435287,random_edge,0.25,4328,5033,0.015271707999999995,0.007047291000000122,0.0016262500000001623,0.0010645419999999461,0,0.0,25.0,-66.63285854585423,123,53.853943514372304,34.54007686396065,2,125
erdos_renyi,5000,1236,5000,20132,0.001610882176435287,random_edge,0.5,4900,10066,0.015271707999999995,0.009595416999999884,0.0016262500000001623,0.0013560420000002793,4,40.0,50.0,-47.93814647720693,6,37.168671637776946,16.615403535732884,2,8
